ZipCode,StateCode,PrimaryCity,County
01262,MA,STOCKBRIDGE,ATLANTIC
01230,MA,GREAT BARRINGTON,ATLANTIC
01235,MA,HINSDALE,ATLANTIC
01236,MA,HOUSATONIC,ATLANTIC
01237,MA,HANCOCK,ATLANTIC
01237,MA,LANESBOROUGH,ATLANTIC
01238,MA,LEE,ATLANTIC
01240,MA,LENOX,ATLANTIC
01201,MA,PITTSFIELD,ATLANTIC
01242,MA,LENOX DALE,ATLANTIC
01243,MA,MIDDLEFIELD,ATLANTIC
01259,MA,SOUTHFIELD,ATLANTIC
01245,MA,MONTEREY,ATLANTIC
01247,MA,NORTH ADAMS,ATLANTIC
01253,MA,OTIS,ATLANTIC
01254,MA,RICHMOND,ATLANTIC
01253,MA,OTIS,ATLANTIC
01255,MA,SANDISFIELD,ATLANTIC
01257,MA,SHEFFIELD,ATLANTIC
01258,MA,SOUTH EGREMONT,ATLANTIC
01259,MA,SOUTHFIELD,ATLANTIC
01260,MA,SOUTH LEE,ATLANTIC
01262,MA,STOCKBRIDGE,ATLANTIC
01238,MA,LEE,ATLANTIC
01266,MA,WEST STOCKBRIDGE,ATLANTIC
01267,MA,WILLIAMSTOWN,ATLANTIC
01226,MA,DALTON,ATLANTIC
01235,MA,HINSDALE,ATLANTIC
01301,MA,GREENFIELD,ATLANTIC
01301,MA,GREENFIELD,ATLANTIC
01330,MA,ASHFIELD,ATLANTIC
01331,MA,ATHOL,ATLANTIC
01337,MA,BERNARDSTON,ATLANTIC
01338,MA,BUCKLAND,ATLANTIC
01339,MA,CHARLEMONT,ATLANTIC
01340,MA,COLRAIN,ATLANTIC
01341,MA,CONWAY,ATLANTIC
01342,MA,DEERFIELD,ATLANTIC
01373,MA,SOUTH DEERFIELD,ATLANTIC
01344,MA,ERVING,ATLANTIC
01376,MA,TURNERS FALLS,ATLANTIC
01346,MA,HEATH,ATLANTIC
01347,MA,LAKE PLEASANT,ATLANTIC
01344,MA,ERVING,ATLANTIC
01376,MA,TURNERS FALLS,ATLANTIC
01351,MA,MONTAGUE,ATLANTIC
01376,MA,TURNERS FALLS,ATLANTIC
01376,MA,TURNERS FALLS,ATLANTIC
01355,MA,NEW SALEM,ATLANTIC
01360,MA,NORTHFIELD,ATLANTIC
01364,MA,ORANGE,ATLANTIC
01331,MA,ATHOL,ATLANTIC
01366,MA,PETERSHAM,ATLANTIC
01339,MA,CHARLEMONT,ATLANTIC
01367,MA,ROWE,ATLANTIC
01331,MA,ATHOL,ATLANTIC
01370,MA,SHELBURNE FALLS,ATLANTIC
01373,MA,SOUTH DEERFIELD,ATLANTIC
01373,MA,SOUTH DEERFIELD,ATLANTIC
01375,MA,SUNDERLAND,ATLANTIC
01376,MA,TURNERS FALLS,ATLANTIC
01379,MA,WENDELL,ATLANTIC
01420,MA,FITCHBURG,ATLANTIC
01420,MA,FITCHBURG,ATLANTIC
01430,MA,ASHBURNHAM,ATLANTIC
01431,MA,ASHBY,ATLANTIC
01432,MA,AYER,ATLANTIC
01432,MA,AYER,ATLANTIC
01434,MA,DEVENS,ATLANTIC
01436,MA,BALDWINVILLE,ATLANTIC
01438,MA,EAST TEMPLETON,ATLANTIC
01440,MA,GARDNER,ATLANTIC
01450,MA,GROTON,ATLANTIC
01451,MA,HARVARD,ATLANTIC
01452,MA,HUBBARDSTON,ATLANTIC
01453,MA,LEOMINSTER,ATLANTIC
01460,MA,LITTLETON,ATLANTIC
01462,MA,LUNENBURG,ATLANTIC
01463,MA,PEPPERELL,ATLANTIC
01464,MA,SHIRLEY,ATLANTIC
01451,MA,HARVARD,ATLANTIC
01468,MA,TEMPLETON,ATLANTIC
01469,MA,TOWNSEND,ATLANTIC
01472,MA,WEST GROTON,ATLANTIC
01473,MA,WESTMINSTER,ATLANTIC
01469,MA,TOWNSEND,ATLANTIC
01475,MA,WINCHENDON,ATLANTIC
01501,MA,AUBURN,ATLANTIC
01503,MA,BERLIN,ATLANTIC
01504,MA,BLACKSTONE,ATLANTIC
01505,MA,BOYLSTON,ATLANTIC
01506,MA,BROOKFIELD,ATLANTIC
01507,MA,CHARLTON,ATLANTIC
01508,MA,CHARLTON CITY,ATLANTIC
01507,MA,CHARLTON,ATLANTIC
01510,MA,CLINTON,ATLANTIC
01515,MA,EAST BROOKFIELD,ATLANTIC
01516,MA,DOUGLAS,ATLANTIC
01518,MA,FISKDALE,ATLANTIC
01519,MA,GRAFTON,ATLANTIC
01520,MA,HOLDEN,ATLANTIC
01518,MA,FISKDALE,ATLANTIC
01522,MA,JEFFERSON,ATLANTIC
01523,MA,LANCASTER,ATLANTIC
01524,MA,LEICESTER,ATLANTIC
01525,MA,LINWOOD,ATLANTIC
01526,MA,MANCHAUG,ATLANTIC
01527,MA,MILLBURY,ATLANTIC
01529,MA,MILLVILLE,ATLANTIC
01531,MA,NEW BRAINTREE,ATLANTIC
01585,MA,WEST BROOKFIELD,ATLANTIC
01532,MA,NORTHBOROUGH,ATLANTIC
01534,MA,NORTHBRIDGE,ATLANTIC
01535,MA,NORTH BROOKFIELD,ATLANTIC
01536,MA,NORTH GRAFTON,ATLANTIC
01537,MA,NORTH OXFORD,ATLANTIC
01540,MA,OXFORD,ATLANTIC
01538,MA,NORTH UXBRIDGE,ATLANTIC
01540,MA,OXFORD,ATLANTIC
01541,MA,PRINCETON,ATLANTIC
01542,MA,ROCHDALE,ATLANTIC
01543,MA,RUTLAND,ATLANTIC
01545,MA,SHREWSBURY,ATLANTIC
01545,MA,SHREWSBURY,ATLANTIC
01545,MA,SHREWSBURY,ATLANTIC
01550,MA,SOUTHBRIDGE,ATLANTIC
01560,MA,SOUTH GRAFTON,ATLANTIC
01561,MA,SOUTH LANCASTER,ATLANTIC
01562,MA,SPENCER,ATLANTIC
01564,MA,STERLING,ATLANTIC
01566,MA,STURBRIDGE,ATLANTIC
01568,MA,UPTON,ATLANTIC
01569,MA,UXBRIDGE,ATLANTIC
01570,MA,WEBSTER,ATLANTIC
01571,MA,DUDLEY,ATLANTIC
01570,MA,WEBSTER,ATLANTIC
01581,MA,WESTBOROUGH,ATLANTIC
01583,MA,WEST BOYLSTON,ATLANTIC
01585,MA,WEST BROOKFIELD,ATLANTIC
01527,MA,MILLBURY,ATLANTIC
01588,MA,WHITINSVILLE,ATLANTIC
01590,MA,SUTTON,ATLANTIC
01602,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01603,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01605,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01606,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01607,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01612,MA,PAXTON,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01613,MA,WORCESTER,ATLANTIC
01701,MA,FRAMINGHAM,ATLANTIC
01701,MA,FRAMINGHAM,ATLANTIC
01701,MA,FRAMINGHAM,ATLANTIC
01702,MA,FRAMINGHAM,ATLANTIC
01701,MA,FRAMINGHAM,ATLANTIC
01720,MA,ACTON,ATLANTIC
01720,MA,ACTON,ATLANTIC
01720,MA,ACTON,ATLANTIC
01720,MA,ACTON,ATLANTIC
01721,MA,ASHLAND,ATLANTIC
01730,MA,BEDFORD,ATLANTIC
01803,MA,BURLINGTON,ATLANTIC
01803,MA,BURLINGTON,ATLANTIC
01740,MA,BOLTON,ATLANTIC
01741,MA,CARLISLE,ATLANTIC
01742,MA,CONCORD,ATLANTIC
01742,MA,CONCORD,ATLANTIC
01745,MA,FAYVILLE,ATLANTIC
01746,MA,HOLLISTON,ATLANTIC
01747,MA,HOPEDALE,ATLANTIC
01748,MA,HOPKINTON,ATLANTIC
01749,MA,HUDSON,ATLANTIC
01752,MA,MARLBOROUGH,ATLANTIC
01754,MA,MAYNARD,ATLANTIC
01756,MA,MENDON,ATLANTIC
01757,MA,MILFORD,ATLANTIC
01701,MA,FRAMINGHAM,ATLANTIC
01760,MA,NATICK,ATLANTIC
01760,MA,NATICK,ATLANTIC
01770,MA,SHERBORN,ATLANTIC
01772,MA,SOUTHBOROUGH,ATLANTIC
01773,MA,LINCOLN,ATLANTIC
01773,MA,LINCOLN,ATLANTIC
01775,MA,STOW,ATLANTIC
01776,MA,SUDBURY,ATLANTIC
01776,MA,SUDBURY,ATLANTIC
01778,MA,WAYLAND,ATLANTIC
01778,MA,WAYLAND,ATLANTIC
01784,MA,WOODVILLE,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01803,MA,BURLINGTON,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01810,MA,ANDOVER,ATLANTIC
01810,MA,ANDOVER,ATLANTIC
01810,MA,ANDOVER,ATLANTIC
01810,MA,ANDOVER,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01824,MA,CHELMSFORD,ATLANTIC
01824,MA,CHELMSFORD,ATLANTIC
01826,MA,DRACUT,ATLANTIC
01827,MA,DUNSTABLE,ATLANTIC
01835,MA,HAVERHILL,ATLANTIC
01830,MA,HAVERHILL,ATLANTIC
01830,MA,HAVERHILL,ATLANTIC
01835,MA,HAVERHILL,ATLANTIC
01830,MA,HAVERHILL,ATLANTIC
01833,MA,GEORGETOWN,ATLANTIC
01833,MA,GEORGETOWN,ATLANTIC
01834,MA,GROVELAND,ATLANTIC
01835,MA,HAVERHILL,ATLANTIC
01830,MA,HAVERHILL,ATLANTIC
01835,MA,HAVERHILL,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01844,MA,METHUEN,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01844,MA,METHUEN,ATLANTIC
01840,MA,LAWRENCE,ATLANTIC
01845,MA,NORTH ANDOVER,ATLANTIC
01826,MA,DRACUT,ATLANTIC
